pmid,title,authors,affiliations,journal,pub_date,doi,citations,keywords,abstract,search_query,impact_factor,quartile,journal_full_name
38102449,Structure and growth of plant cell walls.,Cosgrove Daniel J,"Department of Biology, Pennsylvania State University, University Park, Pennsylvania, USA. dcosgrove@psu.edu.",Nature reviews. Molecular cell biology,2023-12-15,10.1038/s41580-023-00691-y,0,Plant Development; Cellulose; Polysaccharides; Glucosyltransferases; Plant Growth Regulators; Cell Wall; Plant Cells; Plants; Signal Transduction; Plant Proteins,"Plant cells build nanofibrillar walls that are central to plant growth, morphogenesis and mechanics. Starting from simple sugars, three groups of polysaccharides, namely, cellulose, hemicelluloses and pectins, with very different physical properties are assembled by the cell to make a strong yet extensible wall. This Review describes the physics of wall growth and its regulation by cellular processes such as cellulose production by cellulose synthase, modulation of wall pH by plasma membrane H+-ATPase, wall loosening by expansin and signalling by plant hormones such as auxin and brassinosteroid. In addition, this Review discusses the nuanced roles, properties and interactions of cellulose, matrix polysaccharides and cell wall proteins and describes how wall stress and wall loosening cooperatively result in cell wall growth.",plant,88.1,Q1,Nature Reviews Microbiology
38308006,"CRISPR technologies for genome, epigenome and transcriptome editing.",Villiger Lukas; Joung Julia; Koblan Luke; Weissman Jonathan; Abudayyeh Omar O; Gootenberg Jonathan S,"McGovern Institute for Brain Research, Massachusetts Institute of Technology Cambridge, Cambridge, MA, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA.; Howard Hughes Medical Institute, Massachusetts Institute of Technology, Cambridge, MA, USA.; David H. Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, USA.; McGovern Institute for Brain Research, Massachusetts Institute of Technology Cambridge, Cambridge, MA, USA. omar@abudayyeh.science.; McGovern Institute for Brain Research, Massachusetts Institute of Technology Cambridge, Cambridge, MA, USA. jgoot@mit.edu.",Nature reviews. Molecular cell biology,2024-02-02,10.1038/s41580-023-00697-6,0,Animals; Transcriptome; CRISPR-Cas Systems; Gene Editing; Epigenome; Clustered Regularly Interspaced Short Palindromic Repeats; Humans; Genome,"Our ability to edit genomes lags behind our capacity to sequence them, but the growing understanding of CRISPR biology and its application to genome, epigenome and transcriptome engineering is narrowing this gap. In this Review, we discuss recent developments of various CRISPR-based systems that can transiently or permanently modify the genome and the transcriptome. The discovery of further CRISPR enzymes and systems through functional metagenomics has meaningfully broadened the applicability of CRISPR-based editing. Engineered Cas variants offer diverse capabilities such as base editing, prime editing, gene insertion and gene regulation, thereby providing a panoply of tools for the scientific community. We highlight the strengths and weaknesses of current CRISPR tools, considering their efficiency, precision, specificity, reliance on cellular DNA repair mechanisms and their applications in both fundamental biology and therapeutics. Finally, we discuss ongoing clinical trials that illustrate the potential impact of CRISPR systems on human health.",genome,88.1,Q1,Nature Reviews Microbiology
38228901,Towards targeting transposable elements for cancer therapy.,Liang Yonghao; Qu Xuan; Shah Nakul M; Wang Ting,"Department of Genetics, Washington University School of Medicine, Saint Louis, MO, USA.; Center for Genome Sciences and Systems Biology, Washington University School of Medicine, Saint Louis, MO, USA.; Division of Cancer Medicine, University of Texas MD Anderson Cancer Center, Houston, TX, USA.; Department of Genetics, Washington University School of Medicine, Saint Louis, MO, USA. twang@wustl.edu.; Center for Genome Sciences and Systems Biology, Washington University School of Medicine, Saint Louis, MO, USA. twang@wustl.edu.; McDonnell Genome Institute, Washington University School of Medicine, Saint Louis, MO, USA. twang@wustl.edu.",Nature reviews. Cancer,2024-01-16,10.1038/s41568-023-00653-8,0,"Oncogenes; Neoplasms; DNA Transposable Elements; Evolution, Molecular; Genome, Human; Gene Regulatory Networks; Humans","Transposable elements (TEs) represent almost half of the human genome. Historically deemed 'junk DNA', recent technological advancements have stimulated a wave of research into the functional impact of TEs on gene-regulatory networks in evolution and development, as well as in diseases including cancer. The genetic and epigenetic evolution of cancer involves the exploitation of TEs, whereby TEs contribute directly to cancer-specific gene activities. This Review provides a perspective on the role of TEs in cancer as being a 'double-edged sword', both promoting cancer evolution and representing a vulnerability that could be exploited in cancer therapy. We discuss how TEs affect transcriptome regulation and other cellular processes in cancer. We highlight the potential of TEs as therapeutic targets for cancer. We also summarize technical hurdles in the characterization of TEs with genomic assays. Last, we outline open questions and exciting future research avenues.",genome,78.5,Q1,Nature Reviews Cancer
37316654,A pangenome reference of 36 Chinese populations.,Gao Yang; Yang Xiaofei; Chen Hao; Tan Xinjiang; Yang Zhaoqing; Deng Lian; Wang Baonan; Kong Shuang; Li Songyang; Cui Yuhang; Lei Chang; Wang Yimin; Pan Yuwen; Ma Sen; Sun Hao; Zhao Xiaohan; Shi Yingbing; Yang Ziyi; Wu Dongdong; Wu Shaoyuan; Zhao Xingming; Shi Binyin; Jin Li; Hu Zhibin; Chinese Pangenome Consortium (CPC); Lu Yan; Chu Jiayou; Ye Kai; Xu Shuhua,"State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China.; Ministry of Education Key Laboratory of Contemporary Anthropology, Collaborative Innovation Center for Genetics and Development, Fudan University, Shanghai, China.; Key Laboratory of Computational Biology, Shanghai Institute of Nutrition and Health, University of Chinese Academy of Sciences, Chinese Academy of Sciences, Shanghai, China.; School of Life Science and Technology, ShanghaiTech University, Shanghai, China.; School of Computer Science and Technology, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China.; MOE Key Lab for Intelligent Networks & Networks Security, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China.; Genome Institute, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.; Department of Medical Genetics, Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming, China.; State Key Laboratory of Genetic Resources and Evolution, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, China.; Jiangsu Key Laboratory of Phylogenomics & Comparative Genomics, International Joint Center of Genomics of Jiangsu Province School of Life Sciences, Jiangsu Normal University, Xuzhou, China.; Institute of Science and Technology for Brain-Inspired Intelligence, Ministry of Education Key (MOE) Laboratory of Computational Neuroscience and Brain-Inspired Intelligence, MOE Frontiers Center for Brain Science Fudan University, Shanghai, China.; Department of Endocrinology, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.; State Key Laboratory of Reproductive Medicine, Nanjing Medical University, Nanjing, China.; Jiangsu Key Lab of Cancer Biomarkers, Prevention and Treatment, Collaborative Innovation Center for Cancer Personalized Medicine, Center for Global Health, School of Public Health, Nanjing Medical University, Nanjing, China.; State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China. lueyan@fudan.edu.cn.; Department of Medical Genetics, Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming, China. chujy@imbcams.com.cn.; MOE Key Lab for Intelligent Networks & Networks Security, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; School of Automation Science and Engineering, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; School of Life Science and Technology, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; Ministry of Education Key Laboratory of Contemporary Anthropology, Collaborative Innovation Center for Genetics and Development, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; School of Life Science and Technology, ShanghaiTech University, Shanghai, China. xushua@fudan.edu.cn.; Jiangsu Key Laboratory of Phylogenomics & Comparative Genomics, International Joint Center of Genomics of Jiangsu Province School of Life Sciences, Jiangsu Normal University, Xuzhou, China. xushua@fudan.edu.cn.; Department of Liver Surgery and Transplantation Liver Cancer Institute, Zhongshan Hospital, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; Center for Excellence in Animal Evolution and Genetics, Chinese Academy of Sciences, Kunming, China. xushua@fudan.edu.cn.",Nature,2023-06-14,10.1038/s41586-023-06173-7,0,"Alleles; Sequence Analysis, DNA; Haplotypes; Euchromatin; Ethnic and Racial Minorities; Reference Standards; Longevity; Ethnicity; Genetic Variation; Minority Groups; Ultraviolet Rays; Genome, Human; Human Genetics; DNA Repair; East Asian People; Keratins; Immunity; Humans","Human genomics is witnessing an ongoing paradigm shift from a single reference sequence to a pangenome form, but populations of Asian ancestry are underrepresented. Here we present data from the first phase of the Chinese Pangenome Consortium, including a collection of 116 high-quality and haplotype-phased de novo assemblies based on 58 core samples representing 36 minority Chinese ethnic groups. With an average 30.65× high-fidelity long-read sequence coverage, an average contiguity N50 of more than 35.63 megabases and an average total size of 3.01 gigabases, the CPC core assemblies add 189 million base pairs of euchromatic polymorphic sequences and 1,367 protein-coding gene duplications to GRCh38. We identified 15.9 million small variants and 78,072 structural variants, of which 5.9 million small variants and 34,223 structural variants were not reported in a recently released pangenome reference1. The Chinese Pangenome Consortium data demonstrate a remarkable increase in the discovery of novel and missing sequences when individuals are included from underrepresented minority ethnic groups. The missing reference sequences were enriched with archaic-derived alleles and genes that confer essential functions related to keratinization, response to ultraviolet radiation, DNA repair, immunological responses and lifespan, implying great potential for shedding new light on human evolution and recovering missing heritability in complex disease mapping.",pangenome,64.8,Q1,Nature
39088638,A sharp discovery.,Kellogg Elizabeth A,"Donald Danforth Plant Science Center, St. Louis, MO, USA.; Arnold Arboretum of Harvard University, Boston, MA, USA.","Science (New York, N.Y.)",2024-08-01,10.1126/science.adr2473,0,"Solanum; Plant Epidermis; Cytokinins; Gene Expression Regulation, Plant",Plant prickles are controlled by genes involved in the final step of cytokinin biosynthesis.,plant,56.9,Q1,"Science (New York, N.Y.)"
38870308,YABBY and diverged KNOX1 genes shape nodes and internodes in the stem.,Tsuda Katsutoshi; Maeno Akiteru; Otake Ayako; Kato Kae; Tanaka Wakana; Hibara Ken-Ichiro; Nonomura Ken-Ichi,"Plant Cytogenetics Laboratory, Department of Gene Function and Phenomics, National Institute of Genetics, Mishima, Shizuoka 411-8540, Japan.; Department of Genetics, School of Life Science, Graduate University for Advanced Studies, Mishima, Shizuoka 411-8540, Japan.; Graduate School of Integrated Sciences for Life, Hiroshima University, Higashi-Hiroshima, Hiroshima 739-8528, Japan.; Graduate School of Agricultural Regional Vitalization, Kibi International University, Minamiawaji, Hyogo 656-0484, Japan.","Science (New York, N.Y.)",2024-06-13,10.1126/science.adn6748,0,"Plant Stems; Plant Leaves; Genes, Plant; Meristem; Oryza; Gene Expression Regulation, Plant; Homeodomain Proteins; Plant Proteins; Gravitropism","Plant stems comprise nodes and internodes that specialize in solute exchange and elongation. However, their boundaries are not well defined, and how these basic units arise remains elusive. In rice with clear nodes and internodes, we found that one subclade of class I knotted1-like homeobox (KNOX1) genes for shoot meristem indeterminacy restricts node differentiation and allows internode formation by repressing YABBY genes for leaf development and genes from another node-specific KNOX1 subclade. YABBYs promote nodal vascular differentiation and limit stem elongation. YABBY and node-specific KNOX1 genes specify the pulvinus, which further elaborates the nodal structure for gravitropism. Notably, this KNOX1 subclade organization is specific to seed plants. We propose that nodes and internodes are distinct domains specified by YABBY-KNOX1 cross-regulation that diverged in early seed plants.",plant,56.9,Q1,"Science (New York, N.Y.)"
38963845,"Genomic investigation of 18,421 lines reveals the genetic architecture of rice.",Wei Xin; Chen Mengjiao; Zhang Qi; Gong Junyi; Liu Jie; Yong Kaicheng; Wang Qin; Fan Jiongjiong; Chen Suhui; Hua Hua; Luo Zhaowei; Zhao Xiaoyan; Wang Xuan; Li Wei; Cong Jia; Yu Xiting; Wang Zhihan; Huang Ruipeng; Chen Jiaxin; Zhou Xiaoyi; Qiu Jie; Xu Ping; Murray Jeremy; Wang Hai; Xu Yang; Xu Chenwu; Xu Gen; Yang Jinliang; Han Bin; Huang Xuehui,"Shanghai Key Laboratory of Plant Molecular Sciences, Development Center of Plant Germplasm Resources, College of Life Sciences, Shanghai Normal University, Shanghai 200234, China.; State Key Laboratory of Rice Biology and Breeding, China National Rice Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310006, China.; CAS Center for Excellence in Molecular Plant Sciences, Chinese Academy of Sciences, Shanghai 200233, China.; State Key Laboratory of Plant Physiology and Biochemistry, College of Agronomy and Biotechnology, China Agricultural University, Beijing 100193, China.; Key Laboratory of Plant Functional Genomics of Ministry of Education, College of Agriculture, Yangzhou University, Yangzhou 225009, China.; Department of Agronomy and Horticulture, University of Nebraska-Lincoln, Lincoln, NE 68583, USA.","Science (New York, N.Y.)",2024-07-05,10.1126/science.adm8762,0,"Genome, Plant; Genes, Plant; Genotype; Quantitative Trait Loci; Oryza; Epistasis, Genetic; Phenotype; Chromosome Mapping; Gene Regulatory Networks; Whole Genome Sequencing","Understanding how numerous quantitative trait loci (QTL) shape phenotypic variation is an important question in genetics. To address this, we established a permanent population of 18,421 (18K) rice lines with reduced population structure. We generated reference-level genome assemblies of the founders and genotyped all 18K-rice lines through whole-genome sequencing. Through high-resolution mapping, 96 high-quality candidate genes contributing to variation in 16 traits were identified, including OsMADS22 and OsFTL1 verified as causal genes for panicle number and heading date, respectively. We identified epistatic QTL pairs and constructed a genetic interaction network with 19 genes serving as hubs. Overall, 170 masking epistasis pairs were characterized, serving as an important factor contributing to genetic background effects across diverse varieties. The work provides a basis to guide grain yield and quality improvements in rice.",genome,56.9,Q1,"Science (New York, N.Y.)"
38662817,Sequence basis of transcription initiation in the human genome.,Dudnyk Kseniia; Cai Donghong; Shi Chenlai; Xu Jian; Zhou Jian,"Lyda Hill Department of Bioinformatics, University of Texas Southwestern Medical Center, Dallas, TX, USA.; Center of Excellence for Leukemia Studies (CELS), Department of Pathology, St. Jude Children's Research Hospital, Memphis, TN, USA.","Science (New York, N.Y.)",2024-04-26,10.1126/science.adj0116,0,"Animals; Promoter Regions, Genetic; Transcription Initiation Site; Transcription Initiation, Genetic; Genome, Human; Deep Learning; Base Sequence; Humans","Transcription initiation is a process that is essential to ensuring the proper function of any gene, yet we still lack a unified understanding of sequence patterns and rules that explain most transcription start sites in the human genome. By predicting transcription initiation at base-pair resolution from sequences with a deep learning-inspired explainable model called Puffin, we show that a small set of simple rules can explain transcription initiation at most human promoters. We identify key sequence patterns that contribute to human promoter activity, each activating transcription with distinct position-specific effects. Furthermore, we explain the sequence basis of bidirectional transcription at promoters, identify the links between promoter sequence and gene expression variation across cell types, and explore the conservation of sequence determinants of transcription initiation across mammalian species.",genome,56.9,Q1,"Science (New York, N.Y.)"
39261641,Personalized pangenome references.,Sirén Jouni; Eskandar Parsa; Ungaro Matteo Tommaso; Hickey Glenn; Eizenga Jordan M; Novak Adam M; Chang Xian; Chang Pi-Chuan; Kolmogorov Mikhail; Carroll Andrew; Monlong Jean; Paten Benedict,"UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA. jlsiren@ucsc.edu.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA.; University of Ferrara, Ferrara, Italy.; Google LLC, Mountain View, CA, USA.; Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.; Institut de Recherche en Santé Digestive, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA. bpaten@ucsc.edu.",Nature methods,2024-09-11,10.1038/s41592-024-02407-2,0,"Haplotypes; Algorithms; Genetic Variation; Genome, Human; Humans; Gene Frequency; Genomics; High-Throughput Nucleotide Sequencing; Software","Pangenomes reduce reference bias by representing genetic diversity better than a single reference sequence. Yet when comparing a sample to a pangenome, variants in the pangenome that are not part of the sample can be misleading, for example, causing false read mappings. These irrelevant variants are generally rarer in terms of allele frequency, and have previously been dealt with by filtering rare variants. However, this blunt heuristic both fails to remove some irrelevant variants and removes many relevant variants. We propose a new approach that imputes a personalized pangenome subgraph by sampling local haplotypes according to k-mer counts in the reads. We implement the approach in the vg toolkit ( https://github.com/vgteam/vg ) for the Giraffe short-read aligner and compare its accuracy to state-of-the-art methods using human pangenome graphs from the Human Pangenome Reference Consortium. This reduces small variant genotyping errors by four times relative to the Genome Analysis Toolkit and makes short-read structural variant genotyping of known variants competitive with long-read variant discovery methods.",pangenome,48.0,Q1,Nature Methods
37291196,A graph-based genome and pan-genome variation of the model plant Setaria.,He Qiang; Tang Sha; Zhi Hui; Chen Jinfeng; Zhang Jun; Liang Hongkai; Alam Ornob; Li Hongbo; Zhang Hui; Xing Lihe; Li Xukai; Zhang Wei; Wang Hailong; Shi Junpeng; Du Huilong; Wu Hongpo; Wang Liwei; Yang Ping; Xing Lu; Yan Hongshan; Song Zhongqiang; Liu Jinrong; Wang Haigang; Tian Xiang; Qiao Zhijun; Feng Guojun; Guo Ruifeng; Zhu Wenjuan; Ren Yuemei; Hao Hongbo; Li Mingzhe; Zhang Aiying; Guo Erhu; Yan Feng; Li Qingquan; Liu Yanli; Tian Bohong; Zhao Xiaoqin; Jia Ruiling; Feng Baili; Zhang Jiewei; Wei Jianhua; Lai Jinsheng; Jia Guanqing; Purugganan Michael; Diao Xianmin,"Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China.; State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.; Center for Genomics and Systems Biology, New York University, New York City, NY, USA.; Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, China.; College of Agronomy, Northwest A & F University, Yangling, China.; College of Life Sciences, Shanxi Agricultural University, Taigu, China.; State Key Laboratory of Plant Physiology and Biochemistry & National Maize Improvement Center, Department of Plant Genetics and Breeding, China Agricultural University, Beijing, China.; School of Life Sciences, Institute of Life Sciences and Green Development, Hebei University, Baoding, China.; Anyang Academy of Agriculture Sciences, Anyang, China.; Center for Agricultural Genetic Resources Research, Shanxi Agricultural University, Taiyuan, China.; Research Institute of Cereal Crops, Xinjiang Academy of Agricultural Sciences, Urumqi, China.; Institute of High Latitude Crops, Shanxi Agricultural University, Datong, China.; Institute of Dry-Land Farming, Hebei Academy of Agricultural and Forestry Sciences, Hengshui, China.; Millet Research Institute, Shanxi Agricultural University, Changzhi, China.; Qiqihar Sub-Academy of Heilongjiang Academy of Agricultural Sciences, Qiqihar, China.; Cangzhou Academy of Agriculture and Forestry Sciences, Cangzhou, China.; Dingxi Academy of Agricultural Sciences, Dingxi, China.; Beijing Key Laboratory of Agricultural Genetic Resources and Biotechnology, Beijing Academy of Agriculture and Forestry Sciences, Beijing, China.; Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China. jiaguanqing@caas.cn.; Center for Genomics and Systems Biology, New York University, New York City, NY, USA. mp132@nyu.edu.; Center for Genomics and Systems Biology, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates. mp132@nyu.edu.; Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China. diaoxianmin@caas.cn.",Nature genetics,2023-06-08,10.1038/s41588-023-01423-w,0,"Genome, Plant; Plant Proteins; Phylogeny; Quantitative Trait Loci; Plant Breeding; Chromosome Mapping; Setaria Plant; Phenotype","Setaria italica (foxtail millet), a founder crop of East Asian agriculture, is a model plant for C4 photosynthesis and developing approaches to adaptive breeding across multiple climates. Here we established the Setaria pan-genome by assembling 110 representative genomes from a worldwide collection. The pan-genome is composed of 73,528 gene families, of which 23.8%, 42.9%, 29.4% and 3.9% are core, soft core, dispensable and private genes, respectively; 202,884 nonredundant structural variants were also detected. The characterization of pan-genomic variants suggests their importance during foxtail millet domestication and improvement, as exemplified by the identification of the yield gene SiGW3, where a 366-bp presence/absence promoter variant accompanies gene expression variation. We developed a graph-based genome and performed large-scale genetic studies for 68 traits across 13 environments, identifying potential genes for millet improvement at different geographic sites. These can be used in marker-assisted breeding, genomic selection and genome editing to accelerate crop improvement under different climatic conditions.",pangenome,30.8,Q1,Nature Genetics
